idSatker,idKldi,kldi,historical_display_name,historical_name_variant_count,historical_name_variants,current_name_authority,current_name_status,historical_governed_package_count,historical_governed_total_pagu,historical_demand_families,historical_semantic_states,first_observed_package_id,last_observed_package_id,taxonomy_version,taxonomy_sha256,printing_resolver_version,historical_only,current_opportunity_authority,contact_authority,outreach_authority,email_send_authority
77255,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI ENDE,1,"[{""name"":""RRI ENDE"",""count"":3,""first_observed_package_id"":62874257,""last_observed_package_id"":62874266}]",False,NOT_CURRENTLY_VERIFIED,3,32800000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PRODUCT_ONLY_UNCONTRADICTED""]",62874257,62874266,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77257,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI TOLITOLI,1,"[{""name"":""RRI TOLITOLI"",""count"":3,""first_observed_package_id"":62674724,""last_observed_package_id"":62674733}]",False,NOT_CURRENTLY_VERIFIED,3,65906000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",62674724,62674733,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77258,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI TARAKAN,1,"[{""name"":""RRI TARAKAN"",""count"":7,""first_observed_package_id"":62245461,""last_observed_package_id"":62245486}]",False,NOT_CURRENTLY_VERIFIED,7,86685000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""OFFICE_FURNITURE"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PURCHASE_EXPLICIT""]",62245461,62245486,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77260,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI GUNUNG SITOLI,1,"[{""name"":""RRI GUNUNG SITOLI"",""count"":2,""first_observed_package_id"":62208174,""last_observed_package_id"":66341902}]",False,NOT_CURRENTLY_VERIFIED,2,3700000.0,"[""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",62208174,66341902,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77261,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI TUAL,1,"[{""name"":""RRI TUAL"",""count"":1,""first_observed_package_id"":66241424,""last_observed_package_id"":66241424}]",False,NOT_CURRENTLY_VERIFIED,1,14600000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",66241424,66241424,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77262,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI WAMENA,1,"[{""name"":""RRI WAMENA"",""count"":5,""first_observed_package_id"":65691902,""last_observed_package_id"":65691912}]",False,NOT_CURRENTLY_VERIFIED,5,28304000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION"",""PRODUCT_ONLY_UNCONTRADICTED""]",65691902,65691912,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77264,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI NABIRE,1,"[{""name"":""RRI NABIRE"",""count"":2,""first_observed_package_id"":65799402,""last_observed_package_id"":65799403}]",False,NOT_CURRENTLY_VERIFIED,2,10720000.0,"[""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",65799402,65799403,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77266,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI LHOKSEUMAWE,1,"[{""name"":""RRI LHOKSEUMAWE"",""count"":2,""first_observed_package_id"":65738131,""last_observed_package_id"":65739553}]",False,NOT_CURRENTLY_VERIFIED,2,27344000.0,"[""AIR_CONDITIONING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",65738131,65739553,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77267,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI RANAI,1,"[{""name"":""RRI RANAI"",""count"":3,""first_observed_package_id"":62339094,""last_observed_package_id"":63133159}]",False,NOT_CURRENTLY_VERIFIED,3,34822000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",62339094,63133159,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
77268,L52,Lembaga Penyiaran Radio Republik Indonesia,RRI TANJUNG PINANG,1,"[{""name"":""RRI TANJUNG PINANG"",""count"":3,""first_observed_package_id"":65574939,""last_observed_package_id"":66807397}]",False,NOT_CURRENTLY_VERIFIED,3,40784000.0,"[""AIR_CONDITIONING"",""COMPUTING"",""PRINTING_HARDWARE""]","[""MAINTENANCE_CALIBRATION""]",65574939,66807397,DEMAND_TAXONOMY_V1_CANDIDATE_FINAL_R2_2_2026-08-14,3864ef756fc96aa5e0454335f0ac38154d3a3417a6e5300b781ed550f657ffe0,V6.7.8,True,False,False,False,False
