institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
UPT Puskesmas Cempaka Arum,UPT Puskesmas Cempaka Arum — Kota Bandung,Kota Bandung,UPT Puskesmas Cempaka Arum,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,3,27766000,June 2026,DESKTOP; IT_HARDWARE; NETWORKING,,,,,,,,
UPT Puskesmas Cipaku,UPT Puskesmas Cipaku — Kota Bandung,Kota Bandung,UPT Puskesmas Cipaku,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,3,24411000,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
UPT Puskesmas Danurejan I,UPT Puskesmas Danurejan I — Kota Yogyakarta,Kota Yogyakarta,UPT Puskesmas Danurejan I,"DI Yogyakarta, Yogyakarta (Kota)",HEALTH_UNIT,1,800000,May 2026,DESKTOP,,,,,,,,
UPT Puskesmas Gedangsari I,UPT Puskesmas Gedangsari I — Kab. Gunungkidul,Kab. Gunungkidul,UPT Puskesmas Gedangsari I,"DI Yogyakarta, Gunung Kidul (Kab.)",HEALTH_UNIT,1,1200000,June 2026,OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Gedongtengen,UPT Puskesmas Gedongtengen — Kota Yogyakarta,Kota Yogyakarta,UPT Puskesmas Gedongtengen,"DI Yogyakarta, Yogyakarta (Kota)",HEALTH_UNIT,5,38600000,May 2026,AUDIO; DESKTOP; OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Gladagsari,UPT Puskesmas Gladagsari — Kab. Boyolali,Kab. Boyolali,UPT Puskesmas Gladagsari,"Jawa Tengah, Boyolali (Kab.)",HEALTH_UNIT,2,94000000,June 2026,DESKTOP,,,,,,,,
UPT Puskesmas Gondokusuman II,UPT Puskesmas Gondokusuman II — Kota Yogyakarta,Kota Yogyakarta,UPT Puskesmas Gondokusuman II,"DI Yogyakarta, Yogyakarta (Kota)",HEALTH_UNIT,1,5000000,May 2026,PRINTER,,,,,,,,
UPT Puskesmas Kecamatan Bokat,UPT Puskesmas Kecamatan Bokat — Kab. Buol,Kab. Buol,UPT Puskesmas Kecamatan Bokat,"Sulawesi Tengah, Buol (Kab.)",HEALTH_UNIT,2,5769750,June 2026; May 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Kecamatan Bukal,UPT Puskesmas Kecamatan Bukal — Kab. Buol,Kab. Buol,UPT Puskesmas Kecamatan Bukal,"Sulawesi Tengah, Buol (Kab.)",HEALTH_UNIT,1,12050000,May 2026,OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Kecamatan Tiloan,UPT Puskesmas Kecamatan Tiloan — Kab. Buol,Kab. Buol,UPT Puskesmas Kecamatan Tiloan,"Sulawesi Tengah, Buol (Kab.)",HEALTH_UNIT,1,7488000,June 2026,NETWORKING,,,,,,,,
UPT Puskesmas Klego 2,UPT Puskesmas Klego 2 — Kab. Boyolali,Kab. Boyolali,UPT Puskesmas Klego 2,"Jawa Tengah, Boyolali (Kab.)",HEALTH_UNIT,1,3210000,May 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Kotagede I,UPT Puskesmas Kotagede I — Kota Yogyakarta,Kota Yogyakarta,UPT Puskesmas Kotagede I,"DI Yogyakarta, Yogyakarta (Kota)",HEALTH_UNIT,1,3500000,June 2026,OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Kotagede II,UPT Puskesmas Kotagede II — Kota Yogyakarta,Kota Yogyakarta,UPT Puskesmas Kotagede II,"DI Yogyakarta, Yogyakarta (Kota)",HEALTH_UNIT,1,12315000,May 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Manggar,UPT Puskesmas Manggar — Kab. Belitung Timur,Kab. Belitung Timur,UPT Puskesmas Manggar,"Kep. Bangka Belitung, Belitung Timur (Kab.)",HEALTH_UNIT,2,75772700,May 2026,DESKTOP; PRINTER,,,,,,,,
UPT Puskesmas Mengger,UPT Puskesmas Mengger — Kota Bandung,Kota Bandung,UPT Puskesmas Mengger,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,1,78995820,May 2026,OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Mergangsan,UPT Puskesmas Mergangsan — Kota Yogyakarta,Kota Yogyakarta,UPT Puskesmas Mergangsan,"DI Yogyakarta, Yogyakarta (Kota)",HEALTH_UNIT,2,17000000,June 2026; May 2026,IT_HARDWARE; SERVER; STORAGE,,,,,,,,
UPT Puskesmas Moch. Ramdhan,UPT Puskesmas Moch. Ramdhan — Kota Bandung,Kota Bandung,UPT Puskesmas Moch. Ramdhan,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,1,26664000,May 2026,NETWORKING,,,,,,,,
UPT Puskesmas Pagarsih,UPT Puskesmas Pagarsih — Kota Bandung,Kota Bandung,UPT Puskesmas Pagarsih,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,4,165500000,June 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
