institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
KELURAHAN CIPINANG BESAR UTARA - JAKTIM,KELURAHAN CIPINANG BESAR UTARA - JAKTIM — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN CIPINANG BESAR UTARA - JAKTIM,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,4,57435728,June 2026,DESKTOP; IT_HARDWARE; LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
KELURAHAN DODUNG,KELURAHAN DODUNG — Kab. Banggai Laut,Kab. Banggai Laut,KELURAHAN DODUNG,"Sulawesi Tengah, Banggai Laut (Kab.)",LOCAL_AGENCY,3,28047000,May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KELURAHAN DURI PULO - JAKPUS,KELURAHAN DURI PULO - JAKPUS — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN DURI PULO - JAKPUS,"DKI Jakarta, Jakarta Pusat (Kota)",PROVINCE,1,74805584,June 2026,LAPTOP; PRINTER,,,,,,,,
KELURAHAN DURIANGKANG,KELURAHAN DURIANGKANG — Kota Batam,Kota Batam,KELURAHAN DURIANGKANG,"Kepulauan Riau, Batam (Kota)",LOCAL_AGENCY,1,3150000,May 2026,AUDIO,,,,,,,,
KELURAHAN GANDEKAN,KELURAHAN GANDEKAN — Kota Surakarta,Kota Surakarta,KELURAHAN GANDEKAN,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,4128000,May 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN GONDANGDIA - JAKPUS,KELURAHAN GONDANGDIA - JAKPUS — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN GONDANGDIA - JAKPUS,"DKI Jakarta, Jakarta Pusat (Kota)",PROVINCE,2,9834048,June 2026,IT_HARDWARE; LAPTOP,,,,,,,,
KELURAHAN HUTATORUAN IX,KELURAHAN HUTATORUAN IX — Kab. Tapanuli Utara,Kab. Tapanuli Utara,KELURAHAN HUTATORUAN IX,"Sumatera Utara, Tapanuli Utara (Kab.)",LOCAL_AGENCY,1,12000000,June 2026,IT_HARDWARE,,,,,,,,
KELURAHAN JATILUHUR,KELURAHAN JATILUHUR — Kab. Kebumen,Kab. Kebumen,KELURAHAN JATILUHUR,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,2,9702000,May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
KELURAHAN JAYENGAN,KELURAHAN JAYENGAN — Kota Surakarta,Kota Surakarta,KELURAHAN JAYENGAN,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,2094000,May 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN JEMBER LOR,KELURAHAN JEMBER LOR — Kab. Jember,Kab. Jember,KELURAHAN JEMBER LOR,"Jawa Timur, Jember (Kab.)",LOCAL_AGENCY,2,4000000,May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
KELURAHAN KADIDI,KELURAHAN KADIDI — Kab. Sidenreng Rappang,Kab. Sidenreng Rappang,KELURAHAN KADIDI,"Sulawesi Selatan, Sidenreng Rappang (Kab.)",LOCAL_AGENCY,1,42308000,May 2026,DESKTOP,,,,,,,,
KELURAHAN KAMPUNG PELITA,KELURAHAN KAMPUNG PELITA — Kota Batam,Kota Batam,KELURAHAN KAMPUNG PELITA,"Kepulauan Riau, Batam (Kota)",LOCAL_AGENCY,1,3150000,May 2026,AUDIO,,,,,,,,
KELURAHAN KARANGANYAR,KELURAHAN KARANGANYAR — Kab. Kebumen,Kab. Kebumen,KELURAHAN KARANGANYAR,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,1,3756925,May 2026,IT_HARDWARE,,,,,,,,
KELURAHAN KAYU PUTIH - JAKTIM,KELURAHAN KAYU PUTIH - JAKTIM — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KAYU PUTIH - JAKTIM,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,1,53863152,June 2026,IT_HARDWARE,,,,,,,,
KELURAHAN KEBAYORAN LAMA SELATAN - JAKSEL,KELURAHAN KEBAYORAN LAMA SELATAN - JAKSEL — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KEBAYORAN LAMA SELATAN - JAKSEL,"DKI Jakarta, Jakarta Selatan (Kota)",PROVINCE,2,22949360,May 2026,AUDIO; IT_HARDWARE,,,,,,,,
KELURAHAN KEBAYORAN LAMA UTARA - JAKSEL,KELURAHAN KEBAYORAN LAMA UTARA - JAKSEL — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KEBAYORAN LAMA UTARA - JAKSEL,"DKI Jakarta, Jakarta Selatan (Kota)",PROVINCE,1,42975983,June 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN KEBON KOSONG - JAKPUS,KELURAHAN KEBON KOSONG - JAKPUS — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KEBON KOSONG - JAKPUS,"DKI Jakarta, Jakarta Pusat (Kota)",PROVINCE,2,24632384,June 2026,IT_HARDWARE; PRINTER,,,,,,,,
KELURAHAN KEBON SIRIH - JAKPUS,KELURAHAN KEBON SIRIH - JAKPUS — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KEBON SIRIH - JAKPUS,"DKI Jakarta, Jakarta Pusat (Kota)",PROVINCE,1,4905600,May 2026,IT_HARDWARE; LAPTOP,,,,,,,,
KELURAHAN KEBUMEN,KELURAHAN KEBUMEN — Kab. Kebumen,Kab. Kebumen,KELURAHAN KEBUMEN,"Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.) | Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,1,1871000,June 2026,IT_HARDWARE,,,,,,,,
KELURAHAN KEDAUNG KALI ANGKE - JAKBAR,KELURAHAN KEDAUNG KALI ANGKE - JAKBAR — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KEDAUNG KALI ANGKE - JAKBAR,"DKI Jakarta, Jakarta Barat (Kota)",PROVINCE,3,66452960,May 2026,LAPTOP; OFFICE_FURNITURE; PRINTER,,,,,,,,
KELURAHAN KEDOYA UTARA - JAKBAR,KELURAHAN KEDOYA UTARA - JAKBAR — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KEDOYA UTARA - JAKBAR,"DKI Jakarta, Jakarta Barat (Kota)",PROVINCE,1,19251120,June 2026,IT_HARDWARE,,,,,,,,
KELURAHAN KEPATIHAN WETAN,KELURAHAN KEPATIHAN WETAN — Kota Surakarta,Kota Surakarta,KELURAHAN KEPATIHAN WETAN,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,24524000,May 2026,DESKTOP,,,,,,,,
KELURAHAN KERTEN,KELURAHAN KERTEN — Kota Surakarta,Kota Surakarta,KELURAHAN KERTEN,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,2,24739000,May 2026,IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
KELURAHAN KRAMAT PELA - JAKSEL,KELURAHAN KRAMAT PELA - JAKSEL — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN KRAMAT PELA - JAKSEL,"DKI Jakarta, Jakarta Selatan (Kota)",PROVINCE,1,44136400,June 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN KUALA PEMBUANG II,KELURAHAN KUALA PEMBUANG II — Kab. Seruyan,Kab. Seruyan,KELURAHAN KUALA PEMBUANG II,"Kalimantan Tengah, Seruyan (Kab.)",LOCAL_AGENCY,3,100388600,May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KELURAHAN MAGERSARI,KELURAHAN MAGERSARI — Kota Mojokerto,Kota Mojokerto,KELURAHAN MAGERSARI,"Jawa Timur, Mojokerto (Kota)",LOCAL_AGENCY,1,37624000,June 2026,CCTV,,,,,,,,
KELURAHAN MANGSANG,KELURAHAN MANGSANG — Kota Batam,Kota Batam,KELURAHAN MANGSANG,"Kepulauan Riau, Batam (Kota)",LOCAL_AGENCY,1,4200000,May 2026,AUDIO,,,,,,,,
KELURAHAN MARUNDA - JAKUT,KELURAHAN MARUNDA - JAKUT — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN MARUNDA - JAKUT,"DKI Jakarta, Jakarta Utara (Kota)",PROVINCE,1,27464640,June 2026,IT_HARDWARE; STORAGE,,,,,,,,
KELURAHAN MATTIROTAPPARENG,KELURAHAN MATTIROTAPPARENG — Kab. Wajo,Kab. Wajo,KELURAHAN MATTIROTAPPARENG,"Sulawesi Selatan, Wajo (Kab.)",LOCAL_AGENCY,1,12500000,May 2026,DESKTOP,,,,,,,,
KELURAHAN MOJAYAN,KELURAHAN MOJAYAN — Kab. Klaten,Kab. Klaten,KELURAHAN MOJAYAN,"Jawa Tengah, Klaten (Kab.)",LOCAL_AGENCY,1,2000000,May 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN MOJO,KELURAHAN MOJO — Kota Surakarta,Kota Surakarta,KELURAHAN MOJO,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,37397000,May 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN MUNTILAN,KELURAHAN MUNTILAN — Kab. Magelang,Kab. Magelang,KELURAHAN MUNTILAN,"Jawa Tengah, Magelang (Kota)",LOCAL_AGENCY,2,1820000,May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KELURAHAN NANGAMETING,KELURAHAN NANGAMETING — Kab. Sikka,Kab. Sikka,KELURAHAN NANGAMETING,"Nusa Tenggara Timur, Sikka (Kab.)",LOCAL_AGENCY,3,2558300,May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KELURAHAN P.KELAPA - KEP. SERIBU,KELURAHAN P.KELAPA - KEP. SERIBU — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN P.KELAPA - KEP. SERIBU,"DKI Jakarta, Adm. Kepulauan Seribu (Kab.)",PROVINCE,3,105437696,May 2026,IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KELURAHAN P.PANGGANG - KEP. SERIBU,KELURAHAN P.PANGGANG - KEP. SERIBU — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN P.PANGGANG - KEP. SERIBU,"DKI Jakarta, Adm. Kepulauan Seribu (Kab.)",PROVINCE,1,33717824,May 2026,PRINTER,,,,,,,,
KELURAHAN P.TIDUNG - KEP. SERIBU,KELURAHAN P.TIDUNG - KEP. SERIBU — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN P.TIDUNG - KEP. SERIBU,"DKI Jakarta, Adm. Kepulauan Seribu (Kab.)",PROVINCE,1,7901321,May 2026,LAPTOP,,,,,,,,
KELURAHAN P.UNTUNG JAWA - KEP. SERIBU,KELURAHAN P.UNTUNG JAWA - KEP. SERIBU — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN P.UNTUNG JAWA - KEP. SERIBU,"DKI Jakarta, Adm. Kepulauan Seribu (Kab.)",PROVINCE,1,15220800,June 2026,IT_HARDWARE; PRINTER,,,,,,,,
KELURAHAN PANJATAN,KELURAHAN PANJATAN — Kab. Kebumen,Kab. Kebumen,KELURAHAN PANJATAN,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,1,1386000,June 2026,IT_HARDWARE,,,,,,,,
KELURAHAN PARIT,KELURAHAN PARIT — Kab. Belitung,Kab. Belitung,KELURAHAN PARIT,"Kep. Bangka Belitung, Belitung (Kab.)",LOCAL_AGENCY,1,9000000,June 2026,AUDIO,,,,,,,,
KELURAHAN PASAR SIBORONGBORONG,KELURAHAN PASAR SIBORONGBORONG — Kab. Tapanuli Utara,Kab. Tapanuli Utara,KELURAHAN PASAR SIBORONGBORONG,"Sumatera Utara, Tapanuli Utara (Kab.)",LOCAL_AGENCY,1,712800,May 2026,IT_HARDWARE,,,,,,,,
KELURAHAN PEJATEN BARAT - JAKSEL,KELURAHAN PEJATEN BARAT - JAKSEL — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN PEJATEN BARAT - JAKSEL,"DKI Jakarta, Jakarta Selatan (Kota)",PROVINCE,2,29119776,May 2026,AUDIO; DESKTOP; IT_HARDWARE; NETWORKING,,,,,,,,
KELURAHAN PEKUNCEN,KELURAHAN PEKUNCEN — Kota Pasuruan,Kota Pasuruan,KELURAHAN PEKUNCEN,"Jawa Timur, Pasuruan (Kota)",LOCAL_AGENCY,4,16470100,May 2026,CAMERA_VIDEO; CCTV; IT_HARDWARE,,,,,,,,
KELURAHAN PENGGILINGAN - JAKTIM,KELURAHAN PENGGILINGAN - JAKTIM — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN PENGGILINGAN - JAKTIM,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,2,46079040,May 2026,IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
KELURAHAN PINANG RANTI - JAKTIM,KELURAHAN PINANG RANTI - JAKTIM — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN PINANG RANTI - JAKTIM,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,3,34018096,June 2026,CCTV; IT_HARDWARE; LAPTOP; PRINTER,,,,,,,,
KELURAHAN PLARANGAN,KELURAHAN PLARANGAN — Kab. Kebumen,Kab. Kebumen,KELURAHAN PLARANGAN,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,1,2017000,May 2026,IT_HARDWARE,,,,,,,,
KELURAHAN PULO GEBANG - JAKTIM,KELURAHAN PULO GEBANG - JAKTIM — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN PULO GEBANG - JAKTIM,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,1,66630144,June 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN PULOGADUNG - JAKTIM,KELURAHAN PULOGADUNG - JAKTIM — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN PULOGADUNG - JAKTIM,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,1,20279280,June 2026,AUDIO; CAMERA_VIDEO,,,,,,,,
KELURAHAN PURWAKARTA,KELURAHAN PURWAKARTA — Kota Cilegon,Kota Cilegon,KELURAHAN PURWAKARTA,"Banten, Cilegon (Kota)",LOCAL_AGENCY,2,9840000,June 2026; May 2026,IT_HARDWARE; LAPTOP; PRINTER,,,,,,,,
KELURAHAN PURWOSARI,KELURAHAN PURWOSARI — Kota Surakarta,Kota Surakarta,KELURAHAN PURWOSARI,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,174000,June 2026,DESKTOP; IT_HARDWARE,,,,,,,,
KELURAHAN RAPPANG,KELURAHAN RAPPANG — Kab. Sidenreng Rappang,Kab. Sidenreng Rappang,KELURAHAN RAPPANG,"Sulawesi Selatan, Sidenreng Rappang (Kab.)",LOCAL_AGENCY,2,31434000,June 2026,DESKTOP; LAPTOP,,,,,,,,
KELURAHAN SELONG - JAKSEL,KELURAHAN SELONG - JAKSEL — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN SELONG - JAKSEL,"DKI Jakarta, Jakarta Selatan (Kota)",PROVINCE,2,23391200,May 2026,AUDIO; IT_HARDWARE,,,,,,,,
KELURAHAN SERENGAN,KELURAHAN SERENGAN — Kota Surakarta,Kota Surakarta,KELURAHAN SERENGAN,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,2,24785000,May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
KELURAHAN SEWU,KELURAHAN SEWU — Kota Surakarta,Kota Surakarta,KELURAHAN SEWU,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,3000000,June 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN SIDUAN,KELURAHAN SIDUAN — Kab. Pohuwato,Kab. Pohuwato,KELURAHAN SIDUAN,"Gorontalo, Pohuwato (Kab.)",LOCAL_AGENCY,1,15000000,May 2026,DESKTOP,,,,,,,,
KELURAHAN SIWA,KELURAHAN SIWA — Kab. Wajo,Kab. Wajo,KELURAHAN SIWA,"Sulawesi Selatan, Wajo (Kab.)",LOCAL_AGENCY,1,4800000,June 2026,NETWORKING,,,,,,,,
KELURAHAN SUNTER AGUNG - JAKUT,KELURAHAN SUNTER AGUNG - JAKUT — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN SUNTER AGUNG - JAKUT,"DKI Jakarta, Jakarta Utara (Kota)",PROVINCE,3,53595696,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
KELURAHAN TANJUNG PRIOK - JAKUT,KELURAHAN TANJUNG PRIOK - JAKUT — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KELURAHAN TANJUNG PRIOK - JAKUT,"DKI Jakarta, Jakarta Utara (Kota)",PROVINCE,2,45872512,May 2026,CCTV; IT_HARDWARE,,,,,,,,
KELURAHAN TANJUNG SENGKUANG,KELURAHAN TANJUNG SENGKUANG — Kota Batam,Kota Batam,KELURAHAN TANJUNG SENGKUANG,"Kepulauan Riau, Batam (Kota)",LOCAL_AGENCY,1,12180000,June 2026,AUDIO,,,,,,,,
KELURAHAN TIBAN BARU,KELURAHAN TIBAN BARU — Kota Batam,Kota Batam,KELURAHAN TIBAN BARU,"Kepulauan Riau, Batam (Kota)",LOCAL_AGENCY,1,4200000,May 2026,AUDIO,,,,,,,,
KELURAHAN TIPES,KELURAHAN TIPES — Kota Surakarta,Kota Surakarta,KELURAHAN TIPES,"Jawa Tengah, Surakarta (Kota)",LOCAL_AGENCY,1,17829000,May 2026,OFFICE_FURNITURE,,,,,,,,
KELURAHAN TONGGALAN,KELURAHAN TONGGALAN — Kab. Klaten,Kab. Klaten,KELURAHAN TONGGALAN,"Jawa Tengah, Klaten (Kab.)",LOCAL_AGENCY,3,55590000,May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KELURAHAN WONOKRIYO,KELURAHAN WONOKRIYO — Kab. Kebumen,Kab. Kebumen,KELURAHAN WONOKRIYO,"Jawa Tengah, Kebumen (Kab.)",LOCAL_AGENCY,1,4125000,May 2026,IT_HARDWARE,,,,,,,,
KEMENTERIAN BADAN USAHA MILIK NEGARA,KEMENTERIAN BADAN USAHA MILIK NEGARA,Kementerian Badan Usaha Milik Negara,KEMENTERIAN BADAN USAHA MILIK NEGARA,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,4,2133664000,June 2026; May 2026,LAPTOP; NETWORKING; STORAGE; UPS,,,,,,,,
KOMISI PEMBERANTASAN KORUPSI KPK,KOMISI PEMBERANTASAN KORUPSI KPK — Komisi Pemberantasan Korupsi,Komisi Pemberantasan Korupsi,KOMISI PEMBERANTASAN KORUPSI KPK,"DKI Jakarta, Jakarta Selatan (Kota)",NATIONAL,4,1532816573,May 2026,LAPTOP; NETWORKING; OFFICE_FURNITURE; SERVER; UPS,,,,,,,,
KOMISI PEMILIHAN UMUM,KOMISI PEMILIHAN UMUM,Komisi Pemilihan Umum,KOMISI PEMILIHAN UMUM,"DKI Jakarta, Jakarta Pusat (Kota)",NATIONAL,2,221550000,June 2026; May 2026,IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KONSULAT JENDERAL RI DI JOHOR BAHRU,KONSULAT JENDERAL RI DI JOHOR BAHRU — Kementerian Luar Negeri,Kementerian Luar Negeri,KONSULAT JENDERAL RI DI JOHOR BAHRU,"LAINNYA, Luar Indonesia",NATIONAL,1,6600000,May 2026,OFFICE_FURNITURE,,,,,,,,
KOTA ADMINISTRASI JAKARTA BARAT,KOTA ADMINISTRASI JAKARTA BARAT — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KOTA ADMINISTRASI JAKARTA BARAT,"DKI Jakarta, Jakarta Barat (Kota)",PROVINCE,2,162274672,May 2026,CCTV; IT_HARDWARE,,,,,,,,
KOTA ADMINISTRASI JAKARTA PUSAT,KOTA ADMINISTRASI JAKARTA PUSAT — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KOTA ADMINISTRASI JAKARTA PUSAT,"DKI Jakarta, Jakarta Pusat (Kota)",PROVINCE,1,5108096,June 2026,AUDIO,,,,,,,,
KOTA ADMINISTRASI JAKARTA TIMUR,KOTA ADMINISTRASI JAKARTA TIMUR — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KOTA ADMINISTRASI JAKARTA TIMUR,"DKI Jakarta, Jakarta Timur (Kota)",PROVINCE,2,68084800,June 2026; May 2026,IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
KOTA ADMINISTRASI JAKARTA UTARA,KOTA ADMINISTRASI JAKARTA UTARA — Provinsi DKI Jakarta,Provinsi DKI Jakarta,KOTA ADMINISTRASI JAKARTA UTARA,"DKI Jakarta, Jakarta Utara (Kota)",PROVINCE,4,384155211,June 2026; May 2026,AUDIO; IT_HARDWARE; OFFICE_FURNITURE; PRINTER,,,,,,,,
KPHP BARITO TENGAH,KPHP BARITO TENGAH — Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,KPHP BARITO TENGAH,"Kalimantan Tengah, Barito Utara (Kab.)",PROVINCE,1,51852000,May 2026,DESKTOP,,,,,,,,
KPHP KAPUAS HULU,KPHP KAPUAS HULU — Provinsi Kalimantan Tengah,Provinsi Kalimantan Tengah,KPHP KAPUAS HULU,"Kalimantan Tengah, Kapuas (Kab.)",PROVINCE,1,88500000,May 2026,DESKTOP,,,,,,,,
KPHP UNIT XXVIII KOTA JAYAPURA,KPHP UNIT XXVIII KOTA JAYAPURA — Provinsi Papua,Provinsi Papua,KPHP UNIT XXVIII KOTA JAYAPURA,"Papua, Jayapura (Kota)",PROVINCE,2,39244700,June 2026,DESKTOP; PRINTER,,,,,,,,
KPU KABUPATEN MUSI BANYU ASIN,KPU KABUPATEN MUSI BANYU ASIN — Komisi Pemilihan Umum,Komisi Pemilihan Umum,KPU KABUPATEN MUSI BANYU ASIN,"Sumatera Selatan, Musi Banyu Asin (Kab.)",NATIONAL,1,1219000,May 2026,OFFICE_FURNITURE,,,,,,,,
KPU KABUPATEN NUNUKAN,KPU KABUPATEN NUNUKAN — Komisi Pemilihan Umum,Komisi Pemilihan Umum,KPU KABUPATEN NUNUKAN,"Kalimantan Utara, Nunukan (Kab.)",NATIONAL,1,2103000,June 2026,OFFICE_FURNITURE,,,,,,,,
KPU KABUPATEN SERANG,KPU KABUPATEN SERANG — Komisi Pemilihan Umum,Komisi Pemilihan Umum,KPU KABUPATEN SERANG,"Banten, Serang (Kab.)",NATIONAL,1,883000,May 2026,OFFICE_FURNITURE,,,,,,,,
KPU KOTA BLITAR,KPU KOTA BLITAR — Komisi Pemilihan Umum,Komisi Pemilihan Umum,KPU KOTA BLITAR,"Jawa Timur, Blitar (Kota)",NATIONAL,1,3870000,May 2026,STORAGE,,,,,,,,
KPU KOTA MALANG,KPU KOTA MALANG — Komisi Pemilihan Umum,Komisi Pemilihan Umum,KPU KOTA MALANG,"Jawa Timur, Malang (Kota)",NATIONAL,1,2103000,June 2026,OFFICE_FURNITURE,,,,,,,,
KPU KOTA SAMARINDA,KPU KOTA SAMARINDA — Komisi Pemilihan Umum,Komisi Pemilihan Umum,KPU KOTA SAMARINDA,"Kalimantan Timur, Samarinda (Kota)",NATIONAL,1,240000000,May 2026,STORAGE,,,,,,,,
Kantor Camat Muara Ancalong,Kantor Camat Muara Ancalong — Kab. Kutai Timur,Kab. Kutai Timur,Kantor Camat Muara Ancalong,"Kalimantan Timur, Kutai Timur (Kab.)",LOCAL_AGENCY,2,11227948,May 2026,IT_HARDWARE,,,,,,,,
Kantor Camat Telen,Kantor Camat Telen — Kab. Kutai Timur,Kab. Kutai Timur,Kantor Camat Telen,"Kalimantan Timur, Kutai Timur (Kab.)",LOCAL_AGENCY,2,7077625,June 2026; May 2026,DESKTOP; IT_HARDWARE,,,,,,,,
Kantor Kecamatan Bati-Bati,Kantor Kecamatan Bati-Bati — Kab. Tanah Laut,Kab. Tanah Laut,Kantor Kecamatan Bati-Bati,"Kalimantan Selatan, Tanah Laut (Kab.)",LOCAL_AGENCY,2,6515000,May 2026,AUDIO; OFFICE_FURNITURE,,,,,,,,
Kantor Kementerian Haji Kabupaten Kotabaru,Kantor Kementerian Haji Kabupaten Kotabaru — Kementerian Haji Dan Umrah Republik Indonesia,Kementerian Haji Dan Umrah Republik Indonesia,Kantor Kementerian Haji Kabupaten Kotabaru,"Kalimantan Selatan, Kota Baru (Kab.)",NATIONAL,1,12000000,May 2026,LAPTOP,,,,,,,,
Kantor Pencarian dan Pertolongan Mataram,Kantor Pencarian dan Pertolongan Mataram — Badan Nasional Pencarian dan Pertolongan,Badan Nasional Pencarian dan Pertolongan,Kantor Pencarian dan Pertolongan Mataram,"Nusa Tenggara Barat, Lombok Barat (Kab.)",NATIONAL,1,18834000,June 2026,DESKTOP; LAPTOP,,,,,,,,
Kantor Pertanahan KAB BANGKA,Kantor Pertanahan KAB BANGKA — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BANGKA,"Kep. Bangka Belitung, Bangka (Kab.)",NATIONAL,1,4000000,May 2026,STORAGE,,,,,,,,
Kantor Pertanahan KAB BENGKULU UTARA,Kantor Pertanahan KAB BENGKULU UTARA — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BENGKULU UTARA,"Bengkulu, Bengkulu Utara (Kab.)",NATIONAL,3,40240000,June 2026; May 2026,IT_HARDWARE,,,,,,,,
Kantor Pertanahan KAB BIMA,Kantor Pertanahan KAB BIMA — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BIMA,"Nusa Tenggara Barat, Bima (Kab.)",NATIONAL,3,17563000,May 2026,IT_HARDWARE; STORAGE,,,,,,,,
Kantor Pertanahan KAB BREBES,Kantor Pertanahan KAB BREBES — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BREBES,"Jawa Tengah, Brebes (Kab.)",NATIONAL,2,11670000,May 2026,IT_HARDWARE; STORAGE,,,,,,,,
Kantor Pertanahan KAB KEDIRI,Kantor Pertanahan KAB KEDIRI — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB KEDIRI,"Jawa Timur, Kediri (Kota)",NATIONAL,1,10000000,May 2026,IT_HARDWARE,,,,,,,,
Kantor Pertanahan KAB KLUNGKUNG,Kantor Pertanahan KAB KLUNGKUNG — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB KLUNGKUNG,"Bali, Klungkung (Kab.)",NATIONAL,4,5800000,May 2026,IT_HARDWARE,,,,,,,,
Kantor Pertanahan KAB LUWU,Kantor Pertanahan KAB LUWU — Kementerian Agraria dan Tata Ruang/BPN,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB LUWU,"Sulawesi Selatan, Luwu (Kab.)",NATIONAL,6,27700000,June 2026,IT_HARDWARE,,,,,,,,
